name, Voelligkeit_VSsoll, Voelligkeit_HS, LCB, Bugwulstlaenge, Voelligkeit_BW, WinkelDucktail, eval_cw, eval_CT,Anz
NeoOpt1106BW_20_des0059, 0.084975388, 0.3, 0.20919359, 5.8159689, 0.69988269, -7.9581942, 5.2363863e-05, 0.0017090477,59
NeoOpt1106BW_20_des0060, 0.085241768, 0.3, 0.20891852, 5.8166838, 0.70036083, -7.9465606, 5.2384654e-05, 0.0017091655,60
NeoOpt1106BW_20_des0061, 0.08517848, 0.30032612, 0.2088578, 5.8161125, 0.70025925, -7.9531677, 5.2013645e-05, 0.0017090059,61
NeoOpt1106BW_20_des0062, 0.085122668, 0.3, 0.20879881, 5.8146856, 0.70014718, -7.9525078, 5.2207233e-05, 0.001708916,62
NeoOpt1106BW_20_des0063, 0.085410387, 0.3, 0.20882171, 5.8160463, 0.6998311, -7.9567912, 5.3818603e-05, 0.0017105606,63
NeoOpt1106BW_20_des0064, 0.085092018, 0.3, 0.20892838, 5.8159373, 0.70025074, -7.9536571, 5.2302734e-05, 0.0017090873,64
NeoOpt1106BW_20_des0065, 0.085170156, 0.30000028, 0.2088559, 5.8160443, 0.70003829, -7.9522478, 5.2292282e-05, 0.00170898,65
NeoOpt1106BW_20_des0066, 0.085336341, 0.3, 0.20885877, 5.8158596, 0.70025809, -7.9544971, 5.2174892e-05, 0.0017089741,66
NeoOpt1106BW_20_des0067, 0.085194902, 0.3, 0.20884842, 5.8156806, 0.70025703, -7.9518163, 5.2138017e-05, 0.0017089067,67
NeoOpt1106BW_20_des0068, 0.085191554, 0.30002896, 0.20885206, 5.8160013, 0.70023148, -7.9529988, 5.1921324e-05, 0.0017086219,68
NeoOpt1106BW_20_des0069, 0.085187967, 0.30005792, 0.20883556, 5.8162355, 0.70035157, -7.952636, 5.2055613e-05, 0.0017088881,69
NeoOpt1106BW_20_des0070, 0.085205245, 0.30005792, 0.208834, 5.8159261, 0.70021841, -7.9546961, 5.3807838e-05, 0.0017106527,70
